,Population,,,,,,Housing Units,,,,,
Lee County,335113,205266,105216,54539,23404,17488,189051,111013,43511,21032,8978,5787
Leon County,192493,148655,103047,74225,51590,31646,81325,59556,32576,21103,13830,8826
Levy County,25923,19870,12756,10364,10637,12550,12307,9068,4760,3622,3454,3569
Liberty County,5569,4260,3379,3138,3182,3752,2157,2027,1287,990,909,954
Madison County,16569,14894,13481,14154,14197,16190,6275,5557,4265,4304,3980,4356
Manatee County,211707,148445,97115,69168,34704,26098,115245,83608,42841,30309,14601,8921
Marion County,194833,122488,69030,51616,38187,31243,94567,55345,26129,17960,11941,9051
Martin County,100900,64014,28035,16932,7807,6295,54199,34002,12403,7473,3396,2511
Monroe County,78024,63188,52586,47921,29957,14078,46215,38088,20731,16721,8399,4486
Nassau County,43941,32894,20626,17189,12811,10826,18726,13303,6785,5344,3882,2747
Okaloosa County,143776,109920,88187,61175,27533,12900,62569,43099,27296,17943,7524,3628
Okeechobee County,29627,20264,11233,6424,3454,3000,13266,9605,3719,2013,1099,905
Orange County,677491,470865,344311,263540,114950,70074,282686,184701,117298,88420,40212,23298
Osceola County,107728,49287,25267,19029,11406,10119,47959,23825,10540,7906,4928,3771
Palm Beach County,863518,576758,348993,228106,114688,79989,461665,295536,141363,89396,46502,28360
Pasco County,281131,193661,75955,36785,20529,13981,148965,100846,34816,14854,7672,4873
Pinellas County,851659,728531,522329,374665,159249,91852,458341,377052,228771,165823,71240,40525
Polk County,405382,321652,228515,195139,123997,86665,186225,134873,81244,64116,39450,25954
Putnam County,65070,50549,36424,32212,23615,18698,31840,23645,13019,10880,7789,5917
St. Johns County,83829,51303,31035,30034,24998,20012,40712,22861,11840,10646,8832,6264
St. Lucie County,150171,87182,50836,39294,20180,11871,73843,40915,18871,13989,6843,3609
Santa Rosa County,81608,55988,37741,29547,18554,16085,32831,20356,12151,8673,5285,4000
Sarasota County,277776,202251,120413,76895,28827,16106,157055,113355,56242,34806,13698,6097
Seminole County,287529,179752,83692,54947,26883,22304,117845,68154,28446,18212,8516,6771
Sumter County,31577,24272,14839,11869,11330,11041,15298,11083,5285,4138,3471,3034
Suwannee County,26780,22287,15559,14961,16986,17073,11699,8765,5227,4748,5186,4426
Taylor County,17111,16532,13641,13168,10416,11565,7908,6982,4991,4407,3382,3447
Union County,10252,10166,8112,6043,8906,7094,2975,2329,1745,1298,1389,1397
Volusia County,370712,258762,169487,125319,74229,53710,180972,124427,70605,52351,30148,19993
Wakulla County,14202,10887,6308,5257,5258,5463,6587,5072,2726,1918,1687,1444
Walton County,27760,21300,16087,15576,14725,14246,18728,10918,6597,5591,4529,3562
Washington County,16919,14509,11453,11249,11888,12302,7703,5979,4237,3723,3486,3153
,,,,,,,,,,,,
Georgia,,,,,,,,,,,,
Appling County,15744,15565,12726,13246,14003,14497,6629,5808,3942,3627,3636,3158
Atkinson County,6213,6141,5879,6188,7362,7093,2449,2317,1786,1698,1938,1659
Bacon County,9566,9379,8233,8359,8940,8096,3859,3414,2787,2450,2295,1829
Baker County,3615,3808,3875,4543,5952,7344,1499,1274,1173,1398,1524,1796
Baldwin County,39530,34686,34240,34064,29706,24190,14200,12235,7970,6296,4907,4251
Banks County,10308,8702,6833,6497,6935,8733,4193,3281,2320,1884,2044,2162
Barrow County,29721,21354,16859,14485,13115,13064,11812,7776,5682,4489,3838,3355
Bartow County,55911,40760,32911,28267,27370,25283,21757,14836,10522,8561,7543,6105
Ben Hill County,16245,16000,13171,13633,14879,14523,6875,6201,4601,4351,4239,3720
Berrien County,14153,13525,11556,12038,13966,15370,5858,5121,3859,3603,3576,3683
Bibb County,149967,150256,143366,141249,114079,83783,61462,55579,47397,42638,32939,23848
Bleckley County,10430,10767,10291,9642,9218,9655,4268,3924,3209,2823,2643,2512
Brantley County,11077,8701,5940,5891,6387,6871,4404,3153,1875,1667,1642,1562
Brooks County,15398,15255,13743,15292,18169,20497,5972,5363,4364,4693,4831,5023
Bryan County,15438,10175,6539,6226,5965,6288,5549,3511,1947,1795,1608,1494
Bulloch County,43125,35785,31585,24263,24740,26010,16541,12682,10512,6902,6675,6332
Burke County,20579,19349,18255,20596,23458,26520,8329,6812,5563,5890,7342,7675
Butts County,15326,13665,10560,8976,9079,9182,5536,4974,3685,3180,2814,2537
Calhoun County,5013,5717,6606,7341,8578,10438,2061,1963,2113,2316,2636,2903
Camden County,30167,13371,11334,9975,7322,5910,10885,5380,3539,2932,2062,1690
Candler County,7744,7518,6412,6672,8063,9103,3203,2841,2161,2169,2239,2215
Carroll County,71422,56346,45404,36451,34112,34156,27736,20321,14625,10954,10079,8754
Catoosa County,42464,36991,28271,21101,15146,12199,16762,13401,8807,6060,4150,2683
Charlton County,8496,7343,5680,5313,4821,5256,3222,2506,1666,1511,1279,1290
Chatham County,216935,202226,187816,188299,151481,117970,91178,77485,61958,59325,46928,33281
Chattahoochee County,16934,21732,25813,13011,12149,15138,3108,3201,2127,1411,1324,590
Chattooga County,22242,21856,20541,19954,21197,18532,9142,8287,6817,6131,5752,4416
Cherokee County,90204,51699,31059,23001,20750,20126,33840,17894,9932,6823,5673,4932
Clarke County,87594,74498,65177,45363,36550,28398,35971,27602,20559,12884,9855,7616
Clay County,3364,3553,3636,4551,5844,7064,1586,1339,1282,1454,1705,1874
Clayton County,182052,150357,98126,46365,22872,11655,71926,53014,29443,12864,6273,3010
Clinch County,6160,6660,6405,6545,6007,6437,2423,2353,2014,1944,1744,1776
Cobb County,447745,297718,196793,114174,61830,38272,189872,113311,61190,33135,17410,9737
Coffee County,29592,26894,22828,21953,23961,21541,11650,9794,7162,6381,6068,5069
Colquitt County,36645,35376,32298,34048,33999,33012,14350,12953,10406,10189,9323,7831
Columbia County,66031,40118,22327,13423,9525,9433,23745,14099,6740,3686,2510,2420
Cook County,13456,13490,12129,11822,12201,11919,5340,4857,3921,3610,3263,2831
Coweta County,53853,39268,32310,28893,27786,26972,20413,14119,10210,8637,8111,7178
Crawford County,8991,7684,5748,5816,6080,7128,3279,2573,1666,1642,1632,1693
Crisp County,20011,19489,18087,17768,17663,17540,8318,7383,6096,5649,5373,4700
Dade County,13147,12318,9910,8666,7364,5894,4998,4293,2993,2355,1864,1287
Dawson County,9429,4774,3639,3590,3712,4479,4321,2401,1344,1157,1080,982
Decatur County,25511,25495,22310,25203,23620,22234,10120,9065,7157,7432,6754,5627
DeKalb County,545837,483024,415387,256782,136395,86942,231520,181849,129712,76875,40694,23680
Dodge County,17607,16955,15658,16483,17865,21022,7094,6395,5468,4897,5053,5090
Dooly County,9901,10826,10404,11474,14159,16886,4003,3772,3433,3480,4095,4378
Dougherty County,96311,100710,89639,75680,43617,28565,37373,34735,27041,20980,12098,7716
Douglas County,71120,54573,28659,16741,12173,10053,26495,17758,8677,4728,3345,2478
Early County,11854,13158,12682,13151,17413,18679,4714,4681,4112,4112,4934,4581
Echols County,2334,2297,1924,1876,2494,2964,942,827,628,544,785,859
Effingham County,25687,18327,13632,10144,9133,9646,9492,6325,4002,2726,2657,2468
Elbert County,18949,18758,17262,17835,18585,19618,7891,7050,5826,5355,5154,4887
Emanuel County,20546,20795,18357,17815,19789,23517,8344,7808,6383,5855,5979,5958
Evans County,8724,8428,7290,6952,6653,7401,3512,3191,2376,2065,1888,1883
Fannin County,15992,14748,13357,13620,15192,14752,8363,6730,4916,4401,3898,3211
Fayette County,62415,29043,11364,8199,7978,8170,22428,9619,3437,2330,2280,2167
Floyd County,81251,79800,73742,69130,62899,56141,32821,30246,24093,21054,17056,14080
Forsyth County,44083,27958,16928,12170,11005,11322,17869,10969,6003,3883,3083,2709
Franklin County,16650,15185,12784,13274,14446,15612,7613,6188,4397,4167,4192,3682
Fulton County,648951,589904,605210,556326,473572,392886,297503,246457,207795,172942,134448,107210
Gilmer County,13368,11110,8956,8922,9963,9001,6986,4424,3148,2686,2591,2094
Glascock County,2357,2382,2280,2672,3579,4547,1036,910,875,887,1137,1035
Glynn County,62496,54981,50528,41954,29046,21920,27724,22358,16659,13158,9204,6194
Gordon County,35072,30070,23570,19228,18922,18445,13777,10935,7748,5909,5268,4428
Grady County,20279,19845,17826,18015,18928,19654,8129,7126,6003,5352,5129,4700
Greene County,11793,11391,10212,11193,12843,13709,4699,4147,3268,3114,3547,3565
Gwinnett County,352910,166808,72349,43541,32320,29087,137608,58109,22235,12754,9054,7173
Habersham County,27621,25020,20691,18116,16553,14771,11076,8930,6574,5298,4651,3532
Hall County,95428,75649,59405,49739,40113,34822,38315,27956,19688,14888,11028,8386
Hancock County,8908,9466,9019,9979,11052,12764,3396,3162,2499,2674,2788,3282
Haralson County,21966,18422,15927,14543,14663,14377,9016,6990,5437,4547,4074,3668
Harris County,17788,15464,11520,11167,11265,11428,7814,6053,4159,3304,3237,2816
Hart County,19712,18585,15814,15229,14495,15512,8942,7527,4985,4454,4007,3641
Heard County,8628,6520,5354,5333,6975,8610,3536,2459,1823,1617,1977,2173
Henry County,58741,36309,23724,17619,15857,15119,21275,12273,6863,4849,4414,3843
Houston County,89208,77605,62924,39154,20964,11303,34785,27423,19106,11175,5920,2974
Irwin County,8649,8988,8036,9211,11973,12936,3479,3341,2637,2651,3022,2895
Jackson County,30005,25343,21093,18499,18997,20089,11775,9105,6826,5667,5417,4873
Jasper County,8453,7553,5760,6135,7473,8772,3637,3083,2120,1965,2343,2504
Jeff Davis County,12032,11473,9425,8914,9299,8841,4792,4049,3046,2493,2290,1986
Jefferson County,17408,18403,17174,17468,18855,20040,7065,6519,5233,5043,5133,5281
Jenkins County,8247,8841,8332,9148,10264,11843,3365,3346,2810,2878,3096,3434
Johnson County,8329,8660,7727,8048,9893,12953,3389,3325,2566,2582,3050,3127
Jones County,20739,16579,12270,8468,7538,8331,7722,5831,3576,2282,2075,2096
Lamar County,13038,12215,10688,10240,10242,10091,5066,4332,3351,2977,2897,2677
Lanier County,5531,5654,5031,5097,5151,5632,2202,2036,1584,1533,1409,1238
Laurens County,39988,36990,32738,32313,33123,33606,16504,13484,10598,9582,9287,8352
Lee County,16250,11684,7044,6204,6674,7837,5537,3877,2158,1709,2011,2295
Liberty County,52745,37583,17569,14487,8444,8595,16776,10800,4810,4094,2239,2106
Lincoln County,7442,6716,5895,5906,6462,7042,3870,3089,2032,1553,1667,1748
Long County,6202,4524,3746,3874,3598,4086,2638,1734,1179,1086,937,1006
Lowndes County,75981,67972,55112,49270,35211,31860,28906,24333,17404,14369,9918,7882
Lumpkin County,14573,10762,8728,7241,6574,6223,5729,3835,2554,2103,1608,1479
McDuffie County,20119,18546,15276,12627,11443,10878,8043,6899,4924,3787,3308,2727
McIntosh County,8634,8046,7371,6364,6008,5292,4276,3643,2644,2131,1893,1588
Macon County,13114,14003,12933,13170,14213,15947,4848,4677,3750,3631,4159,4209
Madison County,21050,17747,13517,11246,12238,13431,8428,6480,4344,3415,3320,3293
Marion County,5590,5297,5099,5477,6521,6954,2152,1841,1542,1471,1817,1746
Meriwether County,22411,21229,19461,19756,21055,22055,8409,7600,5947,5575,5989,5545
Miller County,6280,7038,6424,6908,9023,9998,2602,2562,2150,2069,2478,2244
Mitchell County,20275,21114,18956,19652,22528,23261,7443,7046,5802,5531,6015,5699
Monroe County,17113,14610,10991,10495,10523,10749,6401,4996,3215,2965,2986,2874
Montgomery County,7163,7011,6099,6284,7901,9668,2885,2540,1931,1780,2121,2168
Morgan County,12883,11572,9904,10280,11899,12713,4814,3918,3027,3069,3522,3432
Murray County,26147,19685,12986,10447,10676,11137,10207,6942,4096,2986,2795,2416
Muscogee County,179278,170108,167377,158623,118028,75494,70902,63818,56690,45112,31684,19906
Newton County,41808,34666,26282,20999,20185,18576,15494,12102,8125,6348,5772,4819
Oconee County,17618,12427,7915,6304,7009,7576,6561,4501,2607,1828,2050,1893
Oglethorpe County,9763,8929,7598,7926,9958,12430,3936,3149,2361,2145,2811,2951
Paulding County,41611,26110,17520,13101,11752,12832,15237,9167,5408,3920,3293,2910
Peach County,21189,19151,15990,13846,11705,10378,7537,6640,4528,3767,3253,2753
Pickens County,14432,11652,9620,8903,8855,9136,6403,4834,3183,2659,2480,2262
Pierce County,13328,11897,9281,9678,11112,11800,5271,4297,2945,2982,3031,2677
Pike County,10224,8937,7316,7138,8459,10375,3797,3098,2352,2132,2577,2615
Polk County,33815,32382,29656,28015,30976,28467,13585,12061,9912,8588,8300,6517
Pulaski County,8108,8950,8066,8204,8808,9829,3470,3404,2819,2533,2517,2703
Putnam County,14137,10295,8394,7798,7731,8514,7113,5259,3110,2240,2031,2421
Quitman County,2209,2357,2180,2432,3015,3435,1346,975,632,622,871,883
Rabun County,11648,10466,8327,7456,7424,7821,7883,6162,4235,3189,2512,2194
Randolph County,8023,9599,8734,11078,13804,16609,3225,3561,2992,3593,4018,4345
Richmond County,189719,181629,162437,135601,108876,81863,77288,64846,47754,38205,29828,22247
Rockdale County,54091,36570,18152,10572,8464,7724,19963,12105,5538,2888,2205,1948
Schley County,3588,3433,3097,3256,4036,5033,1447,1245,983,914,1197,1238
Screven County,13842,14043,12591,14919,18000,20353,5861,5507,4223,4279,5310,5214
Seminole County,9010,9057,7059,6802,7904,8492,3962,3853,2519,2041,2118,1983
Spalding County,54457,47899,39514,35404,31045,28427,20702,17037,13077,10538,8874,7388
Stephens County,23257,21761,20331,18391,16647,12972,10254,8570,6912,5520,4618,3030
Stewart County,5654,5896,6511,7371,9194,10603,2156,2089,1961,2303,2465,2698
Sumter County,30228,29360,26931,24652,24208,24502,11726,10167,8427,7456,7231,6947
Talbot County,6524,6536,6625,7127,7687,8141,2645,2387,1934,1909,2157,2192
Taliaferro County,1915,2032,2423,3370,4515,6278,886,871,896,971,1298,1606
Tattnall County,17722,18134,16557,15837,15939,16243,6756,6351,4536,3871,4085,3690
Taylor County,7642,7902,7865,8311,9113,10768,3162,2865,2455,2392,2787,2735
Telfair County,11000,11445,11394,11715,13221,15145,4756,4382,3815,3499,3675,3692
Terrell County,10653,12017,11416,12742,14314,16675,4069,4146,3555,3988,4317,4403
Thomas County,38986,38098,34562,34319,33932,31289,15936,13801,11042,10198,9647,8156
Tift County,34998,32862,27288,23487,22645,18599,13359,11007,8437,6878,6238,4781
Toombs County,24072,22592,19151,16837,17382,16952,9952,8495,6230,4862,4627,3834
Towns County,6754,5638,4565,4538,4803,4925,4577,3415,1828,1538,1298,1077
Treutlen County,5994,6087,5647,5874,6522,7632,2437,2346,1832,1680,1740,1750
Troup County,55536,50003,44466,47189,49841,43879,22426,18346,14928,14537,13786,10852
Turner County,8703,9510,8790,8439,10479,10846,3426,3209,2960,2658,3076,2864
Twiggs County,9806,9354,8222,7935,8308,9117,3648,3145,2246,2006,2157,2158
Union County,11993,9390,6811,6510,7318,7680,6624,4389,2668,2211,2035,1787
Upson County,26300,25998,23505,23800,25078,25064,10667,9741,7818,7103,6852,6018
Walker County,58340,56470,50691,45264,38198,31024,23347,20918,16415,13552,10645,7586
Walton County,38586,31211,23404,20481,20230,20777,14514,10442,7137,6048,5646,5122
Ware County,35471,37180,33525,34219,30289,27929,14628,13794,11123,10603,8408,7117
Warren County,6078,6583,6669,7360,8779,10236,2443,2325,1969,2142,2541,2576
Washington County,19112,18842,17480,18903,21012,24230,7416,6627,5484,5669,6317,6254
Wayne County,22356,20750,17858,17921,14248,13122,8812,7643,5936,5298,3729,3247
Webster County,2263,2341,2362,3247,4081,4726,898,830,696,912,1181,1095
Wheeler County,4903,5155,4596,5342,6712,8535,2148,1922,1496,1533,1865,1946
White County,13006,10120,7742,6935,5951,6417,6082,4091,2635,2169,1643,1460
Whitfield County,72462,65775,55108,42109,34432,26105,28832,23836,17201,12126,9432,6207
Wilcox County,7008,7682,6998,7905,10167,12755,2865,2795,2511,2413,3152,3087
Wilkes County,10597,10951,10184,10961,12388,15084,4548,4196,3489,3351,3621,4136
Wilkinson County,10228,10368,9393,9250,9781,11025,4151,3801,2974,2694,2921,2854
Worth County,19745,18064,14770,16682,19357,21374,7597,6401,4868,4793,5162,5344
,,,,,,,,,,,,
Idaho,,,,,,,,,,,,
Ada County,205775,173125,112230,93460,70649,50401,80849,67869,37145,30782,23014,15062
Adams County,3254,3347,2877,2978,3347,3407,1778,1580,1151,1170,1170,1057
Bannock County,66026,65421,52200,49342,41745,34759,25694,24819,16516,15237,12404,9401
Bear Lake County,6084,6931,5801,7148,6834,7911,2934,2792,2173,2300,2158,2192
Benewah County,7937,8292,6230,6036,6173,7332,3731,3499,2360,2342,2399,2319
Bingham County,37583,36489,29167,28218,23271,21044,12664,12084,8429,8027,6244,5328
Blaine County,13552,9841,5749,4598,5384,5295,9500,7319,3064,2292,1951,1708
Boise County,3509,2999,1763,1646,1776,2333,2894,2372,1212,1096,718,972
Bonner County,26622,24163,15560,15587,14853,15667,15152,13055,7412,6946,5774,5122
Bonneville County,72207,65980,52457,46906,30210,25697,26049,23492,15908,13821,8867,6812
Boundary County,8332,7289,5484,5809,5908,5987,3242,2755,1830,2006,1958,1817
Butte County,2918,3342,2925,3498,2722,1877,1265,1280,1021,1209,849,568
Camas County,727,818,728,917,1079,1360,481,527,373,426,384,428
Canyon County,90076,83756,61288,57662,53597,40987,33137,30616,20235,18717,16499,11653
Caribou County,6963,8695,6534,5976,5576,2284,2867,3105,2184,1946,1692,739
Cassia County,19532,19427,17017,16121,14629,14430,7212,7010,5371,4922,4428,3769
Clark County,762,798,741,915,918,1005,502,445,325,386,360,300
Clearwater County,8505,10390,10871,8548,8217,8243,3805,4112,3633,2978,2519,2407
Custer County,4133,3385,2967,2996,3318,3549,2437,2100,1320,1182,1139,1127
Elmore County,21205,21565,17479,16719,6687,5518,8430,8055,5286,4756,2722,1651
Franklin County,9232,8895,7373,8457,9867,10229,3240,3047,2465,2452,2698,2452
Fremont County,10937,10813,8710,8679,9351,10304,5961,5376,3655,3557,3038,2883
Gem County,11844,11972,9387,9127,8730,9544,4725,4578,3332,3006,2808,2730
Gooding County,11633,11874,8645,9544,11101,9257,4800,4591,3127,3190,3362,2594
Idaho County,13783,14769,12891,13542,11423,12691,6346,6344,4272,4466,3759,3825
Jefferson County,16543,15304,11740,11672,10495,10762,5353,4994,3537,3222,2801,2625
Jerome County,15138,14840,10253,11712,12080,9900,5886,5531,3637,3803,3613,2657
