County,State, In-Migration , Out-Migration , Net Migration , +/- , Rank 
Aiken,South Carolina,2187.91364855,0,2187.91364855,4954.2564050409,333
Pointe Coupee,Louisiana,2157.7455682509,0,2157.7455682509,1282.6224011152,334
Carroll,Maryland,2144.0415386824,0,2144.0415386824,2268.8361542562,335
Ector,Texas,2141.632086861,0,2141.632086861,465.8459583011,336
Manassas City,Virginia,2113.7012987515,0,2113.7012987515,1513.4085142833,337
Perquimans,North Carolina,5405.251023569,3292.879999968,2112.371023601,2426.8532174252,338
Kennebec,Maine,2148.6347601494,46.2300000001,2102.4047601493,1861.7298325706,339
Tuscaloosa,Alabama,2097.9463851401,0,2097.9463851401,900.5277241614,340
Harford,Maryland,8838.1799061031,6751.0200000329,2087.1599060702,8658.9307889491,341
Shasta,California,2084.3611253791,0,2084.3611253791,3178.6683751709,342
Blount,Tennessee,2075.1961074083,0,2075.1961074083,4630.0505895136,343
Lancaster,South Carolina,2045.9618448114,0,2045.9618448114,1205.1700591887,344
Lee,Alabama,2040.5355467327,0,2040.5355467327,1284.654037039,345
Stone,Mississippi,2032.905961511,0,2032.905961511,1041.5440482961,346
Kitsap,Washington,7929.5512034834,5902.6799999546,2026.8712035288,12426.6035454374,347
Hawaii,Hawaii,2019.6060581511,0,2019.6060581511,2166.9962145182,348
Washington,Utah,2010.0502714901,0,2010.0502714901,1167.365474478,349
Jackson,Florida,1980.2937455281,0,1980.2937455281,1753.2027353604,350
Union,Georgia,1965.4663589932,0,1965.4663589932,1933.3187383571,351
Long,Georgia,1955.9333162344,0,1955.9333162344,842.7945807594,352
Sumner,Tennessee,1943.5090950026,0,1943.5090950026,2306.2835555529,353
